cust_id,DOB,Gender,city_code,cluster,recency,frequency,monetary,R,F,M,Avg_M
266875,10-01-1987,F,9,3,,2,5347.1,,1,1,
266878,20-12-1990,M,4,1,,4,12998.11,,2,3,
266881,15-12-1985,M,6,3,,4,4157.01,,2,1,
266882,27-01-1982,M,9,3,,1,2302.82,,1,1,
266883,23-07-1984,F,10,0,,9,24329.89,,4,4,
266885,26-10-1983,M,5,0,732.0,4,4558.12,2.0,2,1,8173.856144781144
266886,28-02-1971,M,1,3,,1,2143.7,,1,1,
266887,20-02-1988,F,4,2,788.0,4,8273.14,2.0,2,2,8173.856144781144
266888,29-04-1977,M,3,2,1334.0,4,10763.81,1.0,2,3,8677.30678694158
266889,19-08-1988,M,3,2,,1,2532.66,,1,1,
266891,20-06-1978,F,6,2,427.0,2,6033.3,4.0,1,2,5121.214583333333
266892,13-09-1990,M,2,3,632.0,3,3838.77,3.0,1,1,5076.74070967742
266894,11-05-1976,F,3,3,397.0,2,11503.05,4.0,1,3,5121.214583333333
266895,12-03-1970,M,4,1,425.0,6,20114.31,4.0,3,4,12185.951431034482
266896,14-08-1974,F,1,2,1243.0,5,12454.45,1.0,3,3,11681.718588039868
266897,29-05-1975,F,4,3,,1,540.35,,1,1,
266900,27-10-1988,M,9,2,184.0,5,11331.77,4.0,3,3,12185.951431034482
266901,08-04-1987,F,8,2,912.0,4,8327.28,2.0,2,2,8173.856144781144
266902,28-08-1992,M,7,3,1209.0,3,5237.7,1.0,1,1,4429.88862244898
266903,10-02-1977,M,10,3,,2,8539.44,,1,2,
266904,21-04-1980,F,9,0,1120.0,6,15167.23,1.0,3,3,11681.718588039868
266906,16-08-1991,M,10,3,548.0,5,8032.24,3.0,3,2,12095.5816
266907,23-03-1992,M,10,3,1186.0,2,5406.77,1.0,1,1,4429.88862244898
266910,28-09-1988,M,6,3,513.0,6,10811.32,3.0,3,3,12095.5816
266911,16-06-1988,F,6,1,124.0,4,16433.56,4.0,2,4,8503.386485355648
266915,04-03-1979,F,5,0,939.0,4,11734.0,1.0,2,3,8677.30678694158
266916,04-07-1975,M,10,2,611.0,6,27181.9,3.0,3,4,12095.5816
266917,07-05-1976,F,8,2,729.0,4,15231.32,2.0,2,4,8173.856144781144
266918,23-09-1976,M,2,0,304.0,4,12337.33,4.0,2,3,8503.386485355648
266919,11-11-1973,M,6,1,419.0,5,13856.7,4.0,3,3,12185.951431034482
266920,13-05-1979,F,1,1,515.0,6,19529.77,3.0,3,4,12095.5816
266921,26-02-1986,F,3,3,723.0,4,5751.53,2.0,2,2,8173.856144781144
266922,21-08-1982,F,3,3,1183.0,2,4804.54,1.0,1,1,4429.88862244898
266923,07-12-1988,M,7,0,,5,10916.3,,3,3,
266927,08-05-1985,F,8,3,1271.0,2,934.83,1.0,1,1,4429.88862244898
266929,15-01-1970,M,8,3,,1,3752.58,,1,1,
266930,22-05-1989,F,8,3,,2,7111.78,,1,2,
266931,29-05-1971,F,4,0,393.0,6,16571.69,4.0,3,4,12185.951431034482
266934,07-06-1974,F,4,3,365.0,2,4722.77,4.0,1,1,5121.214583333333
266935,03-10-1983,F,1,2,,3,3064.16,,1,1,
266936,19-01-1984,F,9,1,,3,15090.99,,1,3,
266937,09-02-1992,F,2,3,519.0,6,8517.34,3.0,3,2,12095.5816
266939,16-07-1989,M,10,2,725.0,7,24503.38,2.0,4,4,19073.41199367089
266940,16-03-1979,F,8,0,,2,5123.89,,1,1,
266941,17-08-1990,F,6,3,,1,4038.78,,1,1,
266942,03-08-1976,M,4,0,,4,18215.93,,2,4,
266943,05-06-1981,F,9,3,,2,2201.16,,1,1,
266944,13-11-1987,F,10,2,,3,15369.44,,1,4,
266945,25-10-1974,M,2,1,726.0,8,19232.53,2.0,4,4,19073.41199367089
266950,20-04-1980,M,6,1,427.0,6,18402.67,4.0,3,4,12185.951431034482
266952,26-06-1975,M,1,3,390.0,6,25660.31,4.0,3,4,12185.951431034482
266953,04-10-1982,F,10,2,425.0,6,30079.21,4.0,3,4,12185.951431034482
266956,23-02-1977,M,7,3,485.0,2,6428.89,3.0,1,2,5076.74070967742
266957,22-06-1974,M,3,3,392.0,4,19621.49,4.0,2,4,8503.386485355648
266958,01-02-1988,F,9,1,456.0,4,11149.45,3.0,2,3,8499.556146616542
266959,13-09-1970,F,1,0,,3,7815.66,,1,2,
266960,05-06-1982,F,1,1,942.0,4,8547.17,1.0,2,2,8677.30678694158
266964,13-08-1985,M,7,1,576.0,2,6318.39,3.0,1,2,5076.74070967742
266966,07-02-1980,F,3,1,93.0,10,27777.49,4.0,4,4,18744.19980232558
266972,21-10-1970,M,7,0,361.0,4,13120.77,4.0,2,3,8503.386485355648
266974,28-10-1979,F,1,3,,4,6550.44,,2,2,
266975,27-09-1972,M,4,1,424.0,6,28343.25,4.0,4,4,18744.19980232558
266976,11-05-1990,F,9,3,821.0,2,1078.48,2.0,1,1,4884.636892655367
266978,04-03-1979,M,9,3,396.0,2,821.01,4.0,1,1,5121.214583333333
266980,21-01-1984,M,4,3,419.0,1,4836.59,4.0,1,1,5121.214583333333
266982,22-06-1973,M,5,3,,1,116.03,,1,1,
266986,11-07-1977,F,6,3,638.0,5,9474.27,2.0,3,2,12267.26375
266987,29-09-1991,F,10,0,851.0,5,24713.33,2.0,3,4,12267.26375
266989,02-08-1989,M,9,3,,1,404.43,,1,1,
266990,08-04-1984,M,1,3,,3,4023.3,,1,1,
266991,05-03-1973,M,5,3,,1,1034.28,,1,1,
266992,23-04-1983,F,9,3,663.0,5,8714.03,2.0,3,2,12267.26375
266993,03-11-1975,F,2,3,543.0,2,7286.37,3.0,1,2,5076.74070967742
266997,23-01-1970,M,9,0,,3,12833.47,,1,3,
266998,01-02-1989,F,5,1,874.0,4,8890.83,2.0,2,2,8173.856144781144
266999,13-01-1989,M,1,3,635.0,3,9858.81,3.0,1,3,5076.74070967742
267000,06-02-1984,F,5,1,791.0,8,26622.77,2.0,4,4,19073.41199367089
267001,27-06-1971,F,6,0,454.0,3,14185.99,3.0,1,3,5076.74070967742
267002,19-08-1986,F,7,3,1369.0,6,4574.7,1.0,4,1,18231.710714285717
267004,24-08-1985,M,2,0,277.0,3,7825.61,4.0,1,2,5121.214583333333
267005,27-12-1988,M,4,2,581.0,4,9140.56,3.0,2,2,8499.556146616542
267008,11-01-1990,M,4,3,659.0,2,7774.78,2.0,1,2,4884.636892655367
267010,18-12-1971,F,4,0,420.0,3,9748.31,4.0,1,3,5121.214583333333
267012,29-06-1980,M,2,3,,1,3673.02,,1,1,
267014,08-05-1978,M,2,2,539.0,11,39614.25,3.0,4,4,18786.61404494382
267015,02-01-1980,M,7,0,,3,10263.24,,1,3,
267016,08-05-1990,F,6,2,691.0,7,12727.39,2.0,4,3,19073.41199367089
267017,17-09-1981,F,10,2,728.0,5,16302.07,2.0,3,4,12267.26375
267018,12-06-1982,M,10,3,,2,2267.46,,1,1,
267019,02-09-1989,M,3,0,973.0,4,13928.52,1.0,2,3,8677.30678694158
267020,26-12-1974,F,8,1,603.0,8,21063.51,3.0,4,4,18786.61404494382
267021,21-09-1982,M,1,0,1181.0,3,8253.24,1.0,1,2,4429.88862244898
267022,01-05-1982,F,8,3,,1,575.71,,1,1,
267023,28-12-1988,F,8,2,1090.0,6,14989.33,1.0,4,3,18231.710714285717
267024,13-12-1989,M,10,2,722.0,9,21144.17,2.0,4,4,19073.41199367089
267025,12-08-1976,F,8,2,1.0,8,24703.38,4.0,4,4,18744.19980232558
267028,06-10-1992,F,7,2,602.0,4,17960.67,3.0,2,4,8499.556146616542
267030,08-12-1981,F,9,0,,3,3347.05,,1,1,
267032,21-04-1971,F,4,2,364.0,6,11612.44,4.0,4,3,18744.19980232558
267033,18-05-1992,M,6,0,,2,5592.4,,1,2,
267034,05-10-1989,F,9,3,,2,9420.12,,1,2,
267037,02-09-1988,F,1,1,,4,10423.47,,2,3,
267042,23-07-1970,M,8,2,518.0,8,8297.44,3.0,4,2,18786.61404494382
267043,04-10-1984,F,3,1,,3,10468.77,,1,3,
267044,16-06-1985,F,9,3,,1,5337.15,,1,1,
267045,05-02-1989,M,8,3,276.0,10,26087.94,4.0,4,4,18744.19980232558
267046,03-07-1987,M,6,3,389.0,2,4685.2,4.0,1,1,5121.214583333333
267048,08-02-1988,M,8,2,632.0,5,17668.95,3.0,3,4,12095.5816
267049,28-09-1984,M,10,3,517.0,5,11184.81,3.0,3,3,12095.5816
267051,19-11-1982,F,10,2,659.0,4,5587.99,2.0,2,2,8173.856144781144
267053,20-09-1982,M,9,0,792.0,6,12114.11,2.0,4,3,19073.41199367089
267056,06-04-1989,M,8,3,724.0,3,7553.78,2.0,1,2,4884.636892655367
267058,06-02-1992,F,10,2,728.0,7,19541.92,2.0,4,4,19073.41199367089
267061,19-01-1981,M,1,3,,2,8870.94,,1,2,
267066,25-06-1970,F,10,2,1427.0,3,8245.51,1.0,1,2,4429.88862244898
267067,01-11-1991,M,5,3,92.0,6,15974.99,4.0,4,4,18744.19980232558
267068,04-12-1979,M,6,1,580.0,6,18683.34,3.0,4,4,18786.61404494382
267072,12-06-1985,M,8,0,881.0,4,10777.07,2.0,2,3,8173.856144781144
267073,18-12-1989,F,9,2,1095.0,5,15336.3,1.0,3,4,11681.718588039868
267075,03-05-1977,M,10,3,1217.0,6,15942.94,1.0,4,4,18231.710714285717
267076,23-12-1982,F,4,3,814.0,3,3147.04,2.0,1,1,4884.636892655367
267078,22-04-1971,M,5,3,,1,1949.22,,1,1,
267081,17-07-1970,F,3,1,821.0,4,9025.64,2.0,2,2,8173.856144781144
267083,15-10-1980,F,3,3,877.0,2,8601.32,2.0,1,2,4884.636892655367
267084,27-03-1978,M,1,3,367.0,6,16201.51,4.0,4,4,18744.19980232558
267085,13-06-1978,M,1,2,540.0,2,4404.53,3.0,1,1,5076.74070967742
267088,14-05-1979,F,9,2,1277.0,4,10912.98,1.0,2,3,8677.30678694158
267090,01-07-1980,F,6,3,1183.0,2,6617.84,1.0,1,2,4429.88862244898
267091,01-10-1979,M,7,3,694.0,1,2481.83,2.0,1,1,4884.636892655367
267092,08-10-1972,F,7,3,782.0,2,3047.59,2.0,1,1,4884.636892655367
267093,21-06-1989,F,9,3,,3,13894.27,,1,3,
267094,24-11-1992,M,9,2,,4,3464.18,,2,1,
267097,05-05-1973,M,2,3,787.0,4,12664.41,2.0,2,3,8173.856144781144
267098,27-04-1971,F,9,3,,1,120.44,,1,1,
267099,25-02-1989,M,5,0,458.0,9,11924.06,3.0,4,3,18786.61404494382
267100,19-10-1977,F,6,2,511.0,3,9993.62,3.0,1,3,5076.74070967742
267101,02-03-1971,M,8,0,,1,5967.0,,1,2,
267102,26-10-1992,F,2,0,664.0,3,9279.79,2.0,1,2,4884.636892655367
267103,05-03-1987,M,8,3,847.0,8,18960.69,2.0,4,4,19073.41199367089
267104,29-10-1975,M,4,3,544.0,3,10647.78,3.0,1,3,5076.74070967742
267105,22-11-1986,M,1,3,579.0,5,18117.58,3.0,3,4,12095.5816
267106,19-03-1983,M,3,2,155.0,3,16582.74,4.0,1,4,5121.214583333333
267107,27-07-1977,M,1,3,668.0,3,6121.7,2.0,1,2,4884.636892655367
267108,13-01-1984,F,9,2,943.0,3,14236.82,1.0,1,3,4429.88862244898
267110,18-10-1987,F,7,1,1340.0,5,15870.01,1.0,3,4,11681.718588039868
267112,22-10-1972,M,7,3,481.0,4,14821.36,3.0,2,3,8499.556146616542
267113,04-11-1975,F,3,0,574.0,4,5888.55,3.0,2,2,8499.556146616542
267116,07-07-1973,F,7,0,1394.0,2,7202.39,1.0,1,2,4429.88862244898
267117,21-01-1978,F,7,1,785.0,6,21919.88,2.0,4,4,19073.41199367089
267119,07-11-1983,F,7,0,573.0,4,3949.27,3.0,2,1,8499.556146616542
267122,27-06-1984,F,7,0,663.0,3,11190.33,2.0,1,3,4884.636892655367
267124,21-08-1974,M,2,3,1431.0,3,8230.04,1.0,1,2,4429.88862244898
267125,11-06-1981,F,4,3,907.0,9,17924.21,2.0,4,4,19073.41199367089
267126,09-02-1973,M,8,0,876.0,6,20317.63,2.0,4,4,19073.41199367089
267129,13-05-1978,M,6,3,609.0,3,6280.82,3.0,1,2,5076.74070967742
267134,14-09-1992,M,2,3,451.0,9,21704.41,3.0,4,4,18786.61404494382
267135,18-07-1977,F,4,3,854.0,4,7301.84,2.0,2,2,8173.856144781144
267139,20-04-1978,M,7,3,386.0,3,3515.01,4.0,1,1,5121.214583333333
267140,05-11-1986,F,5,2,,1,5900.7,,1,2,
267143,06-08-1989,F,1,2,2.0,6,22440.34,4.0,4,4,18744.19980232558
267145,07-01-1982,F,6,3,943.0,2,1487.33,1.0,1,1,4429.88862244898
267146,08-11-1990,F,6,3,,3,9941.68,,1,3,
267147,04-12-1987,M,9,1,,2,4829.95,,1,1,
267148,15-06-1975,F,7,2,847.0,5,8188.05,2.0,3,2,12267.26375
267149,29-12-1990,M,1,3,,2,10503.02,,1,3,
267151,24-04-1987,F,1,2,664.0,7,32473.74,2.0,4,4,19073.41199367089
267152,24-06-1982,M,6,2,694.0,7,16586.05,2.0,4,4,19073.41199367089
267155,10-11-1990,M,7,2,,1,6060.93,,1,2,
267156,02-10-1991,M,1,2,386.0,3,11161.6,4.0,1,3,5121.214583333333
267157,18-12-1990,M,5,2,1365.0,3,6390.22,1.0,1,2,4429.88862244898
267158,14-05-1974,M,5,2,761.0,8,15085.46,2.0,4,3,19073.41199367089
267160,19-01-1974,M,3,3,579.0,5,15050.1,3.0,3,3,12095.5816
267161,08-05-1981,M,9,3,,1,3690.7,,1,1,
267162,26-04-1978,F,2,0,486.0,4,4254.25,3.0,2,1,8499.556146616542
267163,25-11-1989,F,8,2,1246.0,8,22239.23,1.0,4,4,18231.710714285717
267164,17-09-1978,F,7,3,969.0,6,16814.78,1.0,4,4,18231.710714285717
267165,16-05-1986,F,4,1,786.0,6,21853.58,2.0,4,4,19073.41199367089
267166,22-02-1970,F,4,3,1219.0,1,3769.16,1.0,1,1,4429.88862244898
267167,26-10-1992,M,6,1,356.0,6,12189.25,4.0,4,3,18744.19980232558
267169,07-02-1973,M,8,3,518.0,6,9613.5,3.0,4,2,18786.61404494382
267170,24-02-1975,F,2,0,1335.0,2,9291.94,1.0,1,2,4429.88862244898
267172,12-10-1989,F,6,0,668.0,8,18867.88,2.0,4,4,19073.41199367089
267173,25-03-1990,F,10,3,,4,4594.59,,2,1,
267174,16-11-1972,M,1,0,544.0,6,15462.26,3.0,4,4,18786.61404494382
267176,24-06-1978,F,10,1,636.0,5,6498.51,3.0,3,2,12095.5816
267177,17-01-1979,F,3,2,421.0,3,16486.6,4.0,1,4,5121.214583333333
267178,11-11-1987,M,5,3,362.0,2,4287.4,4.0,1,1,5121.214583333333
267179,21-06-1989,F,6,3,,1,2552.55,,1,1,
267180,28-09-1982,M,6,3,547.0,5,4187.95,3.0,3,1,12095.5816
267181,12-02-1989,M,7,3,,2,2522.72,,1,1,
267182,18-10-1989,M,1,3,911.0,4,4067.51,2.0,2,1,8173.856144781144
267183,23-10-1989,M,7,0,602.0,5,12638.99,3.0,3,3,12095.5816
267188,18-02-1990,F,6,3,515.0,4,4656.47,3.0,2,1,8499.556146616542
267189,23-05-1977,M,1,3,509.0,5,6144.91,3.0,3,2,12095.5816
267191,11-08-1990,F,6,3,509.0,3,2626.59,3.0,1,1,5076.74070967742
267192,24-06-1990,M,8,1,732.0,3,7304.05,2.0,1,2,4884.636892655367
267193,27-11-1972,M,1,2,426.0,2,5202.34,4.0,1,1,5121.214583333333
267196,08-12-1985,M,6,3,699.0,2,3309.47,2.0,1,1,4884.636892655367
267199,14-02-1970,,2,1,762.0,5,8448.83,2.0,3,2,12267.26375
267203,01-02-1987,M,1,3,670.0,7,8520.65,2.0,4,2,19073.41199367089
267205,11-10-1989,F,9,3,974.0,6,21860.22,1.0,4,4,18231.710714285717
267207,19-12-1988,F,1,2,730.0,3,15086.57,2.0,1,3,4884.636892655367
267208,02-09-1977,M,8,3,1005.0,4,12947.28,1.0,2,3,8677.30678694158
267209,15-04-1974,M,4,1,,1,7276.43,,1,2,
267210,03-05-1982,F,2,3,,4,12938.44,,2,3,
267211,15-01-1988,M,1,0,1124.0,7,22229.28,1.0,4,4,18231.710714285717
267212,15-06-1983,F,9,3,,1,1345.89,,1,1,
267214,25-08-1973,F,6,3,580.0,7,19441.37,3.0,4,4,18786.61404494382
267215,29-11-1981,F,10,0,520.0,2,11075.42,3.0,1,3,5076.74070967742
267216,09-04-1982,M,8,2,511.0,4,10625.68,3.0,2,3,8499.556146616542
267217,23-03-1987,M,2,3,518.0,6,18894.4,3.0,4,4,18786.61404494382
267220,23-07-1986,M,8,1,969.0,4,13295.36,1.0,2,3,8677.30678694158
267222,27-11-1978,M,8,3,1153.0,1,132.6,1.0,1,1,4429.88862244898
267224,03-02-1986,F,8,0,972.0,6,16314.22,1.0,4,4,18231.710714285717
267226,26-08-1973,M,2,3,1248.0,6,13074.36,1.0,4,3,18231.710714285717
267227,09-06-1983,F,6,2,791.0,3,7550.47,2.0,1,2,4884.636892655367
267228,14-04-1971,F,6,3,906.0,4,8359.33,2.0,2,2,8173.856144781144
267230,15-08-1991,F,1,0,,3,4657.57,,1,1,
267231,10-06-1976,F,1,3,485.0,7,17941.88,3.0,4,4,18786.61404494382
267232,25-08-1983,F,1,0,,3,9695.27,,1,2,
267233,21-08-1987,F,10,3,846.0,6,9577.03,2.0,4,2,19073.41199367089
267234,13-01-1989,M,2,2,365.0,4,11221.27,4.0,2,3,8503.386485355648
267235,08-05-1988,M,6,0,1371.0,4,12745.07,1.0,2,3,8677.30678694158
267236,08-10-1981,M,8,1,727.0,5,12851.15,2.0,3,3,12267.26375
267237,01-01-1979,M,8,3,,3,8865.41,,1,2,
267239,12-02-1979,M,6,1,817.0,3,6268.66,2.0,1,2,4884.636892655367
267240,29-03-1971,M,6,3,512.0,4,5906.23,3.0,2,2,8499.556146616542
267241,12-05-1983,M,5,3,,2,2937.09,,1,1,
267242,11-01-1985,F,8,3,,1,1131.52,,1,1,
267243,19-03-1990,F,6,3,123.0,4,16572.79,4.0,2,4,8503.386485355648
267244,16-06-1977,M,2,3,,4,5160.35,,2,1,
267245,05-12-1987,M,6,1,520.0,6,12155.0,3.0,4,3,18786.61404494382
267246,04-03-1979,F,2,2,,3,15807.02,,1,4,
267247,18-04-1990,M,5,3,358.0,5,14635.73,4.0,3,3,12185.951431034482
267248,29-09-1986,M,5,0,451.0,7,10348.33,3.0,4,3,18786.61404494382
267251,29-10-1980,F,1,3,545.0,5,13215.8,3.0,3,3,12095.5816
267252,04-01-1977,F,10,2,665.0,6,12826.84,2.0,4,3,19073.41199367089
267254,10-08-1990,M,5,3,,1,787.87,,1,1,
267255,02-06-1985,F,4,2,,1,4254.25,,1,1,
267256,09-07-1977,F,8,2,1179.0,5,21095.56,1.0,3,4,11681.718588039868
267257,26-12-1972,M,4,2,904.0,5,12724.08,2.0,3,3,12267.26375
267258,19-08-1983,M,3,3,1148.0,2,2681.84,1.0,1,1,4429.88862244898
267260,10-11-1982,M,9,3,816.0,5,14234.61,2.0,3,3,12267.26375
267261,03-05-1979,F,6,3,361.0,5,6740.5,4.0,3,2,12185.951431034482
267263,20-09-1989,F,6,1,277.0,2,1818.83,4.0,1,1,5121.214583333333
267264,25-04-1989,F,6,0,450.0,3,5787.99,3.0,1,2,5076.74070967742
267265,14-09-1991,F,5,3,93.0,6,23417.16,4.0,4,4,18744.19980232558
267266,21-05-1986,F,5,2,360.0,9,28962.05,4.0,4,4,18744.19980232558
267268,21-12-1985,M,8,1,424.0,4,11073.2,4.0,2,3,8503.386485355648
267269,21-03-1971,F,4,2,785.0,6,24115.52,2.0,4,4,19073.41199367089
267270,16-12-1972,M,2,2,1124.0,2,5447.65,1.0,1,1,4429.88862244898
267272,20-08-1983,F,7,1,,3,8705.19,,1,2,
267273,27-03-1974,M,7,0,754.0,6,11069.89,2.0,4,3,19073.41199367089
267277,29-06-1983,F,1,3,1091.0,3,5889.65,1.0,1,2,4429.88862244898
267278,18-05-1974,F,10,3,907.0,3,9105.2,2.0,1,2,4884.636892655367
267279,24-05-1981,M,9,0,1396.0,3,1533.74,1.0,1,1,4429.88862244898
267280,02-08-1970,M,5,3,547.0,3,10874.31,3.0,1,3,5076.74070967742
267281,01-07-1975,F,7,0,,3,8954.92,,1,2,
267282,26-02-1975,F,1,2,912.0,6,13507.52,2.0,4,3,19073.41199367089
267284,20-04-1984,F,6,0,1301.0,1,1939.28,1.0,1,1,4429.88862244898
267285,19-12-1980,M,10,3,488.0,2,3273.01,3.0,1,1,5076.74070967742
267286,24-11-1979,M,1,0,364.0,7,16109.8,4.0,4,4,18744.19980232558
267287,03-01-1979,F,10,0,448.0,6,15298.73,4.0,4,4,18744.19980232558
267289,16-07-1974,F,5,3,,1,1024.34,,1,1,
267291,22-07-1984,F,4,3,1430.0,5,10580.38,1.0,3,3,11681.718588039868
267293,18-03-1972,M,2,0,396.0,7,19929.78,4.0,4,4,18744.19980232558
267294,12-02-1979,F,8,3,,2,7962.63,,1,2,
267295,19-01-1988,M,9,3,,1,1232.08,,1,1,
267296,26-09-1975,M,4,0,486.0,4,6270.88,3.0,2,2,8499.556146616542
267297,04-01-1976,M,2,1,62.0,3,10756.07,4.0,1,3,5121.214583333333
267298,24-07-1981,F,6,3,543.0,2,2130.44,3.0,1,1,5076.74070967742
267300,12-08-1990,M,3,3,876.0,2,2329.34,2.0,1,1,4884.636892655367
267301,19-07-1973,F,2,1,1188.0,5,15594.86,1.0,3,4,11681.718588039868
267302,07-12-1981,M,9,1,1058.0,3,5742.69,1.0,1,2,4429.88862244898
267304,03-08-1970,M,4,3,,2,1486.22,,1,1,
267306,13-05-1991,F,10,3,509.0,6,14765.01,3.0,4,3,18786.61404494382
267307,14-11-1979,F,1,3,,4,12446.72,,2,3,
267308,02-02-1987,F,1,3,362.0,2,3239.86,4.0,1,1,5121.214583333333
267309,08-04-1973,F,1,2,1427.0,4,5668.65,1.0,2,2,8677.30678694158
267312,28-05-1991,F,7,3,607.0,1,1332.63,3.0,1,1,5076.74070967742
267316,22-02-1992,M,1,3,216.0,7,29440.51,4.0,4,4,18744.19980232558
267317,08-05-1980,M,7,2,759.0,3,11974.89,2.0,1,3,4884.636892655367
267318,05-12-1987,M,7,3,722.0,3,16320.85,2.0,1,4,4884.636892655367
267320,25-02-1973,M,3,0,574.0,4,7186.92,3.0,2,2,8499.556146616542
267322,10-01-1977,M,10,0,482.0,6,15330.77,3.0,4,4,18786.61404494382
267323,27-01-1990,F,7,3,426.0,4,5750.42,4.0,2,2,8503.386485355648
